"prep.bl.use.prop.0","prep.mean.days.usage.0","art.init.lag.mean","non.testers.prop.0","tests.per.year.0","transmission.probability.insertive.infected","transmission.probability.receptive.infected","seroconcordant.main.condom.prob","serodiscordant.main.condom.prob","seroconcordant.casual.condom.prob","serodiscordant.casual.condom.prob","prop.steady.sex.acts","prop.casual.sex.acts","incarceration.prob","incarceration.with.cji.prob","jail.serving.time.mean","network.retention.multiplier","post.release.interference.period.mean","substance.use.condom.prob.multiplier","external.infections.per.person.day.min","external.infections.per.person.day.max"
0.31,252,217.4,0.14,2.6,0.000761011,0.0003065333,0.158,0.42,0.318,0.2,0.205,0.119,7.3060942e-05,0.000856345,108.8,0.36,97,0.6,5.041095892e-06,2.9983561644e-05
0.31,252,217.4,0.14,2.6,0.000761011,0.0003065333,0.158,0.42,0.318,0.326,0.205,0.119,7.3060942e-05,0.000856345,108.8,0.36,97,0.6,5.041095892e-06,2.9983561644e-05
0.31,252,217.4,0.14,2.6,0.000761011,0.0003065333,0.158,0.42,0.318,0.326,0.205,0.119,7.3060942e-05,0.000856345,108.8,0.36,97,0.6,4.438356166e-06,2.9983561644e-05
0.31,252,217.4,0.14,2.6,0.000761011,0.0003065333,0.158,0.42,0.318,0.326,0.205,0.119,7.3060942e-05,0.0007620378,108.8,0.36,97,0.6,4.438356166e-06,2.9983561644e-05
0.31,252,217.4,0.14,2.6,0.000761011,0.0003065333,0.05,0.42,0.318,0.326,0.205,0.119,7.3060942e-05,0.0007620378,108.8,0.36,97,0.6,4.438356166e-06,2.9983561644e-05
0.16,492,270,0.06,3.65,0.000761011,0.0001979696,0.482,0.42,0.554,0.578,0.205,0.105,7.3060942e-05,0.0004791162,73.2,0.92,298,0.76,3.83561644e-06,2.5643835615e-05
0.16,492,270,0.06,3.65,0.000761011,0.0001979696,0.482,0.42,0.554,0.578,0.205,0.105,7.3060942e-05,0.0004791162,73.2,0.92,298,0.76,3.83561644e-06,2.2750684929e-05
0.16,492,270,0.06,3.65,0.000761011,0.0001979696,0.482,0.42,0.554,0.578,0.205,0.105,7.3060942e-05,0.0004791162,37.6,0.92,298,0.76,3.83561644e-06,2.2750684929e-05
0.16,492,270,0.06,3.65,0.000761011,0.0001979696,0.482,0.42,0.554,0.578,0.205,0.105,7.3060942e-05,0.0004791162,37.6,0.92,298,0.6,3.83561644e-06,2.2750684929e-05
0.16,492,270,0.08,3.65,0.000761011,0.0001979696,0.482,0.42,0.554,0.578,0.205,0.105,7.3060942e-05,0.0004791162,37.6,0.92,298,0.6,3.83561644e-06,2.2750684929e-05
0.16,396,270,0.08,3.65,0.000761011,0.0001979696,0.482,0.42,0.554,0.578,0.205,0.105,7.3060942e-05,0.0004791162,37.6,0.92,298,0.6,3.83561644e-06,2.2750684929e-05
0.16,396,270,0.08,3.65,0.000761011,0.0001979696,0.482,0.42,0.554,0.578,0.205,0.105,7.3060942e-05,0.0004791162,37.6,0.92,298,0.6,4.438356166e-06,2.2750684929e-05
0.22,396,270,0.08,3.65,0.000761011,0.0001979696,0.482,0.42,0.554,0.578,0.205,0.105,7.3060942e-05,0.0004791162,37.6,0.92,298,0.6,4.438356166e-06,2.2750684929e-05
0.22,396,270,0.08,3.65,0.000761011,0.0001979696,0.482,0.42,0.554,0.578,0.239,0.105,7.3060942e-05,0.0004791162,37.6,0.92,298,0.6,4.438356166e-06,2.2750684929e-05
0.22,396,270,0.08,3.65,0.000761011,0.0002703454,0.482,0.42,0.554,0.578,0.239,0.105,7.3060942e-05,0.0004791162,37.6,0.92,298,0.6,4.438356166e-06,2.2750684929e-05
0.22,396,270,0.08,3.65,0.000761011,0.0002703454,0.482,0.53,0.554,0.578,0.239,0.105,7.3060942e-05,0.0004791162,37.6,0.92,298,0.6,4.438356166e-06,2.2750684929e-05
0.22,396,270,0.08,3.65,0.000761011,0.0002703454,0.482,0.53,0.672,0.578,0.239,0.105,7.3060942e-05,0.0004791162,37.6,0.92,298,0.6,4.438356166e-06,2.2750684929e-05
0.22,396,270,0.08,3.65,0.000761011,0.0002703454,0.482,0.53,0.672,0.452,0.239,0.105,7.3060942e-05,0.0004791162,37.6,0.92,298,0.6,4.438356166e-06,2.2750684929e-05
0.22,396,270,0.08,3.65,0.000761011,0.0002703454,0.482,0.53,0.672,0.452,0.239,0.105,7.3060942e-05,0.0004791162,37.6,0.76,298,0.6,4.438356166e-06,2.2750684929e-05
0.22,396,270,0.08,3.65,0.000761011,0.0002703454,0.482,0.53,0.672,0.452,0.239,0.105,4.9996354e-05,0.0004791162,37.6,0.76,298,0.6,4.438356166e-06,2.2750684929e-05
0.22,396,217.4,0.08,3.65,0.000761011,0.0002703454,0.482,0.53,0.672,0.452,0.239,0.105,4.9996354e-05,0.0004791162,37.6,0.76,298,0.6,4.438356166e-06,2.2750684929e-05
0.22,396,217.4,0.08,3.65,0.000761011,0.0002703454,0.482,0.53,0.672,0.452,0.239,0.105,4.9996354e-05,0.000384809,37.6,0.76,298,0.6,4.438356166e-06,2.2750684929e-05
0.22,396,217.4,0.08,3.65,0.000761011,0.0002703454,0.59,0.53,0.672,0.452,0.239,0.105,4.9996354e-05,0.000384809,37.6,0.76,298,0.6,4.438356166e-06,2.2750684929e-05
0.22,396,217.4,0.08,3.65,0.000761011,0.0002703454,0.59,0.53,0.672,0.452,0.239,0.091,4.9996354e-05,0.000384809,37.6,0.76,298,0.6,4.438356166e-06,2.2750684929e-05
0.22,396,217.4,0.08,3.65,0.000761011,0.0002703454,0.59,0.53,0.672,0.452,0.239,0.091,4.9996354e-05,0.000384809,37.6,0.76,365,0.6,4.438356166e-06,2.2750684929e-05
0.22,396,217.4,0.08,3.65,0.0006481898,0.0002703454,0.59,0.53,0.672,0.452,0.239,0.091,4.9996354e-05,0.000384809,37.6,0.76,365,0.6,4.438356166e-06,2.2750684929e-05
0.22,396,217.4,0.08,2.95,0.0006481898,0.0002703454,0.59,0.53,0.672,0.452,0.239,0.091,4.9996354e-05,0.000384809,37.6,0.76,365,0.6,4.438356166e-06,2.2750684929e-05
0.4,540,270,0.12,2.25,0.000761011,0.0001979696,0.158,0.64,0.79,0.704,0.29,0.112,0.000107657824,0.000620577,91,0.76,30,0.28,3.83561644e-06,2.1304109586e-05
