"design","prep.bl.use.prop.0","prep.mean.days.usage.0","art.init.lag.mean","non.testers.prop.0","tests.per.year.0","transmission.probability.insertive.infected","transmission.probability.receptive.infected","seroconcordant.main.condom.prob","serodiscordant.main.condom.prob","seroconcordant.casual.condom.prob","serodiscordant.casual.condom.prob","prop.steady.sex.acts","prop.casual.sex.acts","incarceration.prob","incarceration.with.cji.prob","jail.serving.time.mean","network.retention.multiplier","post.release.interference.period.mean","substance.use.condom.prob.multiplier","external.infections.per.person.day.min","external.infections.per.person.day.max","avg_incidence_10yr","avg_prevalence_10yr","avg_incidence_5yr","avg_prevalence_5yr"
113,0.28,252,138.5,0.13,3.3,0.0005917792,0.0001255938,0.212,0.585,0.672,0.83,0.205,0.084,7.3060942e-05,0.0006677306,91,0.36,298,0.36,5.041095892e-06,2.1304109586e-05,1.01716172619266,9.90452611872146,0.989771956896018,9.33883232876712
114,0.28,252,138.5,0.13,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.205,0.084,7.3060942e-05,0.0006677306,91,0.36,298,0.36,5.041095892e-06,2.1304109586e-05,1.01109591920293,9.89203196347032,0.98669620985463,9.32769351598174
115,0.28,252,85.9,0.13,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.205,0.084,7.3060942e-05,0.0006677306,91,0.36,298,0.36,5.041095892e-06,2.1304109586e-05,1.0098364382915,9.87233671232877,0.998291617236485,9.32354538812785
116,0.22,252,85.9,0.13,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.205,0.084,7.3060942e-05,0.0006677306,91,0.36,298,0.36,5.041095892e-06,2.1304109586e-05,1.03967023022081,10.0832067579909,1.02083779550007,9.51371214611872
117,0.22,252,85.9,0.13,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.205,0.084,7.3060942e-05,0.0006677306,55.4,0.36,298,0.36,5.041095892e-06,2.1304109586e-05,1.06664828940991,10.1286944292237,1.05335273543557,9.57733570776256
118,0.22,252,85.9,0.15,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.205,0.084,7.3060942e-05,0.0006677306,55.4,0.36,298,0.36,5.041095892e-06,2.1304109586e-05,1.05988385444408,10.2340183561644,1.03542405175253,9.64544073059361
119,0.22,252,85.9,0.15,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.205,0.084,7.3060942e-05,0.0007620378,55.4,0.36,298,0.36,5.041095892e-06,2.1304109586e-05,1.06774280384652,10.3058523287671,1.04235230481601,9.74748511415525
120,0.22,252,85.9,0.15,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.205,0.098,7.3060942e-05,0.0007620378,55.4,0.36,298,0.36,5.041095892e-06,2.1304109586e-05,1.13762165949894,10.7222326027397,1.10355384890522,10.1947037442922
121,0.22,252,85.9,0.15,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.239,0.098,7.3060942e-05,0.0007620378,55.4,0.36,298,0.36,5.041095892e-06,2.1304109586e-05,1.23065639139074,11.3674130593607,1.21038118752882,10.8757378995434
122,0.22,252,85.9,0.15,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.239,0.098,7.3060942e-05,0.0007620378,55.4,0.52,298,0.36,5.041095892e-06,2.1304109586e-05,1.23279497552021,11.4098430136986,1.22043030116266,10.8729326027397
123,0.22,252,85.9,0.15,3.3,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.239,0.098,7.3060942e-05,0.0007620378,55.4,0.52,298,0.2,5.041095892e-06,2.1304109586e-05,1.24079700293339,11.4943356164384,1.2035901659689,10.9463784474886
124,0.22,252,85.9,0.15,2.6,0.0005917792,0.0001255938,0.32,0.585,0.672,0.83,0.239,0.098,7.3060942e-05,0.0007620378,55.4,0.52,298,0.2,5.041095892e-06,2.1304109586e-05,1.26891167436234,11.6338193607306,1.23565500557267,11.14716456621
125,0.22,252,85.9,0.15,2.6,0.0007046004,0.0001255938,0.32,0.585,0.672,0.83,0.239,0.098,7.3060942e-05,0.0007620378,55.4,0.52,298,0.2,5.041095892e-06,2.1304109586e-05,1.48554471158418,13.0570626484018,1.45321292667107,12.586658630137
126,0.22,252,85.9,0.15,2.6,0.0007046004,0.0001255938,0.32,0.585,0.672,0.83,0.239,0.098,7.3060942e-05,0.0007620378,55.4,0.52,298,0.2,5.041095892e-06,2.4197260272e-05,1.58538919575148,13.7413096803653,1.54181847977728,13.3129689497717
127,0.22,156,85.9,0.15,2.6,0.0007046004,0.0001255938,0.32,0.585,0.672,0.83,0.239,0.098,7.3060942e-05,0.0007620378,55.4,0.52,298,0.2,5.041095892e-06,2.4197260272e-05,1.6077510328073,13.7855979908676,1.57915313615737,13.403061369863
128,0.22,156,85.9,0.15,2.6,0.0007046004,0.0001255938,0.32,0.585,0.672,0.83,0.239,0.098,4.9996354e-05,0.0007620378,55.4,0.52,298,0.2,5.041095892e-06,2.4197260272e-05,1.58824451497016,13.6681136986301,1.56952996897974,13.2766726940639
129,0.22,156,85.9,0.15,2.6,0.0007046004,0.0001255938,0.32,0.585,0.672,0.83,0.239,0.098,4.9996354e-05,0.0007620378,55.4,0.52,231,0.2,5.041095892e-06,2.4197260272e-05,1.56223498663502,13.572359086758,1.55162826085667,13.1286922374429
130,0.22,156,85.9,0.15,2.6,0.0007046004,0.0001255938,0.32,0.585,0.672,0.83,0.239,0.098,4.9996354e-05,0.0007620378,55.4,0.52,231,0.2,5.643835618e-06,2.4197260272e-05,1.57651182298392,13.8642918721461,1.54232799930769,13.415624109589
131,0.22,156,85.9,0.15,2.6,0.0007046004,0.0001979696,0.32,0.585,0.672,0.83,0.239,0.098,4.9996354e-05,0.0007620378,55.4,0.52,231,0.2,5.643835618e-06,2.4197260272e-05,1.66251790486506,14.3279607305936,1.62014521827654,13.9064173515982
132,0.22,156,85.9,0.15,2.6,0.0007046004,0.0001979696,0.32,0.585,0.79,0.83,0.239,0.098,4.9996354e-05,0.0007620378,55.4,0.52,231,0.2,5.643835618e-06,2.4197260272e-05,1.68224849500645,14.2925130593607,1.67285366039699,13.9422389041096
133,0.25,444,191.1,0.08,1.2,0.0008174216,0.000415097,0.374,0.695,0.672,0.515,0.205,0.077,8.4593236e-05,0.000620577,2,0.76,331.5,0.2,4.438356166e-06,2.1304109586e-05,1.82838569917438,15.1784940639269,1.81372534779693,14.8989782648402
134,0.25,444,191.1,0.08,1.2,0.0008174216,0.000415097,0.374,0.695,0.672,0.515,0.205,0.077,8.4593236e-05,0.0005262698,2,0.76,331.5,0.2,4.438356166e-06,2.1304109586e-05,1.80268224481074,15.2637352511416,1.77275928495381,14.9196832876712
135,0.25,444,191.1,0.08,1.2,0.0008174216,0.000415097,0.374,0.695,0.672,0.515,0.205,0.077,8.4593236e-05,0.0005262698,2,0.76,264.5,0.2,4.438356166e-06,2.1304109586e-05,1.7472046112041,15.0877416438356,1.70807773904312,14.6928997260274
136,0.25,444,191.1,0.08,1.2,0.0007046004,0.000415097,0.374,0.695,0.672,0.515,0.205,0.077,8.4593236e-05,0.0005262698,2,0.76,264.5,0.2,4.438356166e-06,2.1304109586e-05,1.50950944802619,13.4386447488584,1.48172304319259,12.9490821917808
