"panel","case","time_summary","art_red","prep_red","art_cov","prep_cov","mean","lower","upper"
"A. Intervention use reduction","committed","horizon_mean",0.6075,0.0075,0.6075,0.0075,2.14209766405129,1.99383375590564,2.30229330417668
"A. Intervention use reduction","committed","horizon_mean",0.615,0.0075,0.615,0.0075,2.1546089097975,2.00356738138586,2.31796319915485
"A. Intervention use reduction","committed","horizon_mean",0.6225,0.0075,0.6225,0.0075,2.16704889894961,2.0136563447116,2.33344967279813
"A. Intervention use reduction","committed","horizon_mean",0.63,0.0075,0.63,0.0075,2.17941302413874,2.02341795814644,2.34908241943225
"A. Intervention use reduction","committed","horizon_mean",0.6375,0.0075,0.6375,0.0075,2.19169548708879,2.03282728617044,2.36565486752719
"A. Intervention use reduction","committed","horizon_mean",0.645,0.0075,0.645,0.0075,2.20388872725061,2.04152549374026,2.38472392569396
"A. Intervention use reduction","committed","horizon_mean",0.6525,0.0075,0.6525,0.0075,2.21598382240624,2.04996766534915,2.40370726814161
"A. Intervention use reduction","committed","horizon_mean",0.66,0.0075,0.66,0.0075,2.22797091939414,2.05882000666495,2.42108512608661
"A. Intervention use reduction","committed","horizon_mean",0.6675,0.0075,0.6675,0.0075,2.23983942659943,2.06739123670625,2.43893826740013
"A. Intervention use reduction","committed","horizon_mean",0.675,0.0075,0.675,0.0075,2.25157805525842,2.07540751176918,2.45593281695087
"A. Intervention use reduction","committed","horizon_mean",0.6825,0.0075,0.6825,0.0075,2.26317478631272,2.08305276337074,2.47335136903942
"A. Intervention use reduction","committed","horizon_mean",0.69,0.0075,0.69,0.0075,2.27461687920746,2.09034365385055,2.4910724804615
"A. Intervention use reduction","committed","horizon_mean",0.6975,0.0075,0.6975,0.0075,2.28589118650475,2.0971964514295,2.51025113963583
"A. Intervention use reduction","committed","horizon_mean",0.705,0.0075,0.705,0.0075,2.29698535135926,2.10333789457833,2.52727566964082
"A. Intervention use reduction","committed","horizon_mean",0.7125,0.0075,0.7125,0.0075,2.3078901205569,2.10727405612381,2.54292157316018
"A. Intervention use reduction","committed","horizon_mean",0.72,0.0075,0.72,0.0075,2.31859936014034,2.11314264764649,2.5594415683862
"A. Intervention use reduction","committed","horizon_mean",0.7275,0.0075,0.7275,0.0075,2.32910783230513,2.11801064913635,2.57380945830223
"A. Intervention use reduction","committed","horizon_mean",0.735,0.0075,0.735,0.0075,2.33941034083303,2.12159734321209,2.58791746804656
"A. Intervention use reduction","committed","horizon_mean",0.7425,0.0075,0.7425,0.0075,2.34950165039761,2.12725591508081,2.60200145682379
"A. Intervention use reduction","committed","horizon_mean",0.75,0.0075,0.75,0.0075,2.35937657003629,2.13252766431593,2.61697016614884
"A. Intervention use reduction","committed","horizon_mean",0,0.015,0,0.015,1.00608530325627,0.998746097539648,1.01376996794911
"A. Intervention use reduction","committed","horizon_mean",0.0075,0.015,0.0075,0.015,1.01896461601495,1.01098821125273,1.02719685864627
"A. Intervention use reduction","committed","horizon_mean",0.015,0.015,0.015,0.015,1.03209477325293,1.02232252428576,1.04142126698565
"A. Intervention use reduction","committed","horizon_mean",0.0225,0.015,0.0225,0.015,1.04546829264247,1.03322599009181,1.0572320242952
"A. Intervention use reduction","committed","horizon_mean",0.03,0.015,0.03,0.015,1.05907541173333,1.04390969277785,1.07346515882153
"A. Intervention use reduction","committed","horizon_mean",0.0375,0.015,0.0375,0.015,1.07290514462464,1.05510402249353,1.09012776216398
"A. Intervention use reduction","committed","horizon_mean",0.045,0.015,0.045,0.015,1.0869452625403,1.06665774513326,1.10709204533201
"A. Intervention use reduction","committed","horizon_mean",0.0525,0.015,0.0525,0.015,1.10118221992663,1.07843464888997,1.12417392560141
