"draw","r","P0","gamma_PrEP","beta_PrEP","prep_cov_per_funding","irr_mean","irr_ci_lower","irr_ci_upper"
97,0.313397843099665,0.301673822812736,0.094543925389142,1.53372969546866,0.686602156900335,1.4658191665347,1.37961034351186,1.55709238863139
98,0.294346400653012,0.325935236178339,0.0959378636150834,1.38123871137081,0.705653599346988,1.46845283582016,1.3813997099875,1.56209295074579
99,0.336716505116783,0.226887153927237,0.0763966495262728,2.11097222221755,0.663283494883217,1.46258295560478,1.37731999853799,1.55073961199736
100,0.270488253445365,0.200389976687729,0.0542031348022212,2.17311811651795,0.729511746554635,1.47173942269939,1.38338788181591,1.56735357860409
101,0.221080977644306,0.275242206640542,0.0608508161330669,1.48178186514848,0.778919022355694,1.47851211373117,1.38771244121287,1.57837222664589
102,0.299396585382055,0.200376729927957,0.0599921087304527,2.26293501231166,0.700603414617945,1.46775554377546,1.38096092123664,1.56074432709978
103,0.186739638331346,0.252475313153118,0.0471471486658066,1.54718801140198,0.813260361668654,1.48319959318576,1.39052679282014,1.58599075221839
104,0.356385618215427,0.120817240532488,0.0430575269582525,4.08542238513598,0.643614381784573,1.45984136957889,1.3754009878595,1.54561684589232
105,0.249938885623123,0.197204242888838,0.049289008707788,2.14772519042289,0.750061114376877,1.47456120489748,1.38501565984393,1.57259444733765
106,0.163613082666416,0.192789180781692,0.0315428321724256,1.97016104388044,0.836386917333584,1.48634978276477,1.39291745602596,1.59059346869117
107,0.297976612229832,0.160905007291585,0.0479459289635629,2.81235717571479,0.702023387770168,1.467951662918,1.38106595444452,1.56112410854105
108,0.14064083667472,0.190112401340157,0.0267375671867198,1.94449332508326,0.85935916332528,1.48947511356424,1.39441716172409,1.59478663537149
109,0.149350543972105,0.257140545565635,0.0384040803575114,1.45234711640638,0.850649456027895,1.48829056386774,1.39383976557745,1.59329768744063
110,0.366637330269441,0.335693353135139,0.123077714782664,1.49415761210984,0.633362669730559,1.45840797406563,1.37445394632629,1.54281312844472
111,0.138781773683149,0.171615920159966,0.0238171617920658,2.14941774887697,0.861218226316851,1.48972789606945,1.39456713368735,1.5952012506632
112,0.229363405727781,0.166540295686573,0.0381982494095841,2.47527044887784,0.770636594272219,1.47737943282904,1.38714810488777,1.57661527596657
113,0.255038440926,0.274981565214694,0.0701308696757468,1.55079421947847,0.744961559074,1.47386165673529,1.38453168488782,1.57127176434112
114,0.255666287324857,0.253244943469763,0.0647461944807075,1.68532298597052,0.744333712675143,1.47377549867875,1.38448289481527,1.57110439353214
115,0.360591155593283,0.178180091455579,0.0642501650816841,2.78839181775101,0.639408844406717,1.4592537194443,1.37496829688063,1.54446800056542
116,0.160520029894542,0.186020006351173,0.0298599369804732,2.03433102827213,0.839479970105458,1.48677078777706,1.3931147673954,1.59129714080022
117,0.203592306002975,0.247198979090899,0.0503278101946973,1.61365057300714,0.796407693997025,1.48090091314145,1.38902046458176,1.58263640888998
118,0.18814419984119,0.198039235845208,0.0372599335652574,1.97588414673421,0.81185580015881,1.48300812149434,1.39042181315698,1.58564831559978
119,0.323908639780711,0.334512562081218,0.108351508973288,1.40466835528192,0.676091360219289,1.46436226842882,1.37855297227837,1.55423127501736
120,0.328374474775046,0.311249971501529,0.102206545915563,1.51969033997341,0.671625525224954,1.46374237243304,1.3780390952658,1.55301447574697
121,0.135193002934102,0.271607033852488,0.0367193705245421,1.3524817352983,0.864806997065898,1.49021581872248,1.39494226926603,1.59599038381417
122,0.343216583889443,0.144551548920572,0.0496124888164464,3.34615988561002,0.656783416110556,1.46167817878501,1.37688303031551,1.54896802006016
123,0.13478038838366,0.355970189664513,0.0479778004159883,1.03145819698032,0.86521961161634,1.49027191259508,1.39498537827364,1.59608068897341
124,0.275593555299565,0.148304246608168,0.0408716945887685,2.95702995532097,0.724406444700435,1.47103713944053,1.38302651561963,1.56642655506094
125,0.251675001811236,0.167806235086173,0.0422326345192493,2.52984124898638,0.748324998188764,1.47432309760481,1.38483465180321,1.57216820784296
126,0.171989250055049,0.176731580793858,0.0303959320417788,2.17090830024717,0.828010749944951,1.48520932349978,1.3917963313422,1.58895875108651
127,0.312742172449362,0.215017308946699,0.0672449803142062,2.14980218176037,0.687257827550638,1.46590995417817,1.37969262100829,1.55727074172149
128,0.335950665699784,0.187911287248135,0.0631289220435141,2.5458827774021,0.664049334300216,1.46268947707209,1.37737149857904,1.55094856181125
129,0.353186108521186,0.331982588823885,0.117251638643497,1.47943868469389,0.646813891478814,1.46028809998508,1.3757581476414,1.5464838464302
130,0.210129577724729,0.312365584317595,0.0656372483283943,1.2875751511243,0.789870422275271,1.48000841251116,1.38864507360422,1.58096238578521
131,0.288707236526534,0.272627443168312,0.0787095157184181,1.63822540120757,0.711292763473466,1.46923076339289,1.38199786528898,1.56324959131919
132,0.284568178118207,0.313330186083913,0.0891638002033377,1.41716731190549,0.715431821881794,1.46980130284979,1.38227084336488,1.56425485028236
