"instance","ycat","mean_hiv_prevalence","mean_prop_hivneg_onprep","mean_prop_hivpos_onart","mean_prop_hivpos_vlsupp","mean_prop_onart_vlsupp","mean_prop_infected_diagnosed","mean_prop_diagnosed_onart","mean_prop_condom"
372,15,18.5758082191781,17.6443887232535,75.9366246504042,71.8460536964114,94.6155188767335,88.803308629557,85.5106947327109,63.3427604573445
372,16,18.1226575342466,17.4107639276425,76.7060012761016,72.9529165791853,95.107483657316,88.4923512584615,86.6810303492778,63.3055940438031
372,17,17.6013698630137,17.9296565787344,76.630745579511,72.866084591032,95.0880315320114,88.0250759817346,87.0492215237944,63.1366802241158
372,18,16.9037534246575,17.237419436179,76.1261201843367,72.3138192710865,94.9908317197924,88.2866891575121,86.2261935946838,62.7979658612992
372,19,16.6647123287671,17.4860644843682,74.2475824630342,70.5346990022189,95.0003414394684,86.8417555829865,85.4974086950021,62.7719101371384
372,20,16.3081643835616,17.3822339099596,73.8373013120162,69.4980185230291,94.1273792606347,86.7098705589608,85.1495408868058,62.9126599411641
373,1,28.0708493150685,26.0465930536585,63.2933548757639,60.6295202216794,95.7827580980077,89.5234965210614,70.7002752317246,63.6400471871926
373,2,27.8671232876712,20.088159050667,67.9078035285045,64.28322245984,94.6611198273555,88.3880649001314,76.8322506261362,63.6693313750202
373,3,27.165397260274,18.6052169874765,70.2876255461569,66.8297504845626,95.0809393386505,86.902878397245,80.8830587840487,63.4606569918965
373,4,26.0869863013699,17.5456630144949,72.1256906746351,68.4850709294,94.9529146957354,87.1046172122534,82.8052510105476,63.5233099042037
373,5,25.7391506849315,17.2298250362424,71.7874726616638,68.0603069884415,94.8090868851622,86.0157367532853,83.4579622188436,63.5460936614352
373,6,25.3305205479452,17.5745139352163,72.503569516609,68.889325393409,95.0150765159022,86.0857921536249,84.2219575615684,63.1823294022014
373,7,24.7151232876712,17.521164053677,72.9517538132221,69.1745915804553,94.8224783944591,85.7901703455736,85.0347910635654,63.5351564244709
373,8,24.0948493150685,17.344424094834,73.3459938224955,69.7017835104545,95.0331691420278,85.2405917013555,86.0462834888193,63.380774458962
373,9,23.1873698630137,18.005008833722,74.1950996724436,70.4324653495051,94.9294001241358,86.3313781300228,85.9414532859414,63.5880167776539
373,10,22.7878082191781,17.4254369081186,74.0225291773355,70.3243301024162,95.0040832394915,86.91686114245,85.1654642331149,63.6595340730022
373,11,22.8139726027397,17.7872757701735,74.9488102985187,71.0948196178039,94.8580228115285,87.1523543391585,85.9946638318947,63.1895273450444
373,12,22.6298630136986,17.5644213274767,73.8345071691792,70.022938284012,94.8383051047563,86.6379997025354,85.2202382528597,63.4108806500476
373,13,22.5425753424658,17.7886995803111,74.6195730508429,70.448231529974,94.4093884741925,87.8419417444835,84.9490612396771,63.2537469790197
373,14,22.605698630137,18.2959916265913,73.9730367317106,69.8188995952365,94.3851275994915,87.2277690953204,84.8039316959986,63.4625228669083
373,15,22.4760821917808,18.4334633528668,73.9234184306347,69.7241772813346,94.3198856610919,87.5976765969768,84.39092188869,63.4826613267291
373,16,22.4987671232877,18.1958841884606,75.0138331693279,70.8812784026618,94.491245954739,88.1191059859785,85.1289071417806,63.2780142181682
373,17,22.4767671232877,17.8760819630975,75.0942944330218,71.0430126090786,94.606563584338,87.122316336925,86.1958901339743,63.4652245261402
373,18,22.3636712328767,17.9116349082962,74.3082175912019,70.4202985326514,94.7683916092069,87.2219004099662,85.1951331702975,63.5278383212869
373,19,22.3634520547945,17.5242669061648,74.7658899560072,70.6914288092646,94.5487496171223,87.3186077381455,85.624300301858,63.4120385619101
373,20,22.2923561643836,17.4793414200817,74.6999053655874,70.5215082817522,94.4066232809878,87.733881758832,85.1449372698919,63.6081543163028
