transmission.probability.insertive.infected,prop.casual.sex.acts,prop.steady.sex.acts,prep.bl.use.prop,transmission.probability.receptive.infected,prep.fraction.sd
0.0017487076031428611,0.1307742967873698,0.1710712641956303,0.2085411558941842,0.0003784744391296126,0.872409024333915
0.0016269647594429242,0.07428403704529128,0.2174600469137272,0.10389541261401063,0.00032665646672437474,0.5266933249141794
0.001686212144448896,0.09874295679827422,0.21847882618754083,0.1415475321682547,0.00022838126141945422,0.8161693686217957
0.0016443843708583354,0.09290823318980415,0.20376946987215178,0.14065817232459005,0.00035145370667197365,0.6856516999439579
0.0016776557413338208,0.10506863909858652,0.2230488025379879,0.19657128899557857,0.0002232272369523289,0.536568791403857
0.001801796105526398,0.11382636889510417,0.21672292729988388,0.21260286066751896,0.00017236376991533394,0.5449351400957814
0.0015963838789519714,0.10889347321849199,0.19271014645104134,0.2377576206211457,0.0002629098417782323,0.2156305045906191
0.0018917917145237194,0.09807963078445853,0.17506589990478783,0.25051947511659434,0.000276943815613346,0.20836492191065384
0.001933347140644442,0.1245189228050721,0.20720154704071642,0.2564608814944595,0.00011867254688920966,0.44033807658046714
0.0015496756302847618,0.10645031359840529,0.22802766503906016,0.269819608870505,0.00027987855588681467,0.12528248324025007
0.001616520231344276,0.11677058876438036,0.21334307183952603,0.20042717221498765,0.00035851022850148394,0.7000921204626007
0.0016218352418856464,0.10099562257268083,0.1714977087305392,0.22991623184455645,0.000349113671289628,0.16847091388902138
0.0015008322921377158,0.11508798726906977,0.22324686715863673,0.19968988870996757,0.00021931359787871665,0.3047673857794956
0.0016044844932938816,0.07146724618836106,0.28067697154546367,0.11618767814811719,0.0002877017948962039,0.8778604059479217
0.0012960103183374024,0.1021997618940224,0.26628832655047047,0.10793294231414613,0.000293233214409449,0.38602952438318866
0.0014884264887451203,0.1246451984339036,0.21905323978644636,0.15225778700236245,0.00012952660372688563,0.5655422425108159
0.0015405498068464245,0.1174983609887139,0.19745284994306617,0.1582748557736078,0.00022366973401848007,0.6555269588212368
0.0017631160310879114,0.09248764443588713,0.19495529699512248,0.1568702534310873,0.0003401913849899837,0.6342473083426818
0.0016965502481837268,0.09140413019757343,0.16507655469611116,0.12899507927930298,0.0002961455808199347,0.26190408220237205
0.001724914682161406,0.12387710624805598,0.20694276114391627,0.22027973732822803,0.0003740153155487081,0.6963899677924626
0.0016021072265729021,0.12521355173348148,0.20222396929946979,0.2946204656334481,0.00029853660238720665,0.16254608993993117
0.0016721994804628163,0.10097902216876047,0.2511663608000988,0.20371776994628998,0.0001870941249489641,0.42832668673515645
0.0015938298520419528,0.08477456109206266,0.22144001116950335,0.11985495331352822,0.0003408178743008264,0.6009305989234176
0.0016265419553836064,0.10603155290183658,0.2651989308307112,0.3164619554235633,0.00022294079652311827,0.10910161959556967
0.0019114434493977413,0.11924765576728286,0.22499903772366242,0.2271902680095796,0.00014694340308053528,0.6543537597736464
0.0017189357687671565,0.11834148157772942,0.21774049738797926,0.2698155364218717,0.00019003715497128846,0.3914030697206064
0.001513342362998965,0.11134931832417783,0.20885260952660134,0.2669591801861094,0.0002972742977980585,0.1358586094498276
0.0018971994715571362,0.08125608165477588,0.19211170532425947,0.12592717044372018,0.000314407686075874,0.8519088024660415
0.0013119727629444223,0.12642636303024396,0.21105729769358564,0.15670771089945523,0.0004025107774099227,0.4565164754590669
0.0017243095941571417,0.09867050616136713,0.16406285400231416,0.12412404753351249,0.00032389866606487473,0.5431367638642985
0.0016880855394167155,0.13290527761628593,0.2281393635697832,0.3434581137512115,0.00024389721818839224,0.13447563142248398
0.0016712394516860973,0.10635150401773305,0.23424656764728993,0.3169850947705417,0.00020152318356213077,0.1422415986253212
0.0013980738346873794,0.09984567385473335,0.24158235479727375,0.23044713105729425,0.00026314216621937725,0.14383410397462007
0.0016670424493403996,0.09927915477449484,0.19892628304694066,0.23148006692863804,0.00027419696926483386,0.20304687451940046
0.0019008638786189554,0.1159869847930333,0.22927401306504785,0.22670498022153446,0.0001611446733523773,0.6015659016328305
0.0012830926205937814,0.10750807276807788,0.26483849272119714,0.17497353155393885,0.0003029008590972777,0.25551706650211004
0.0018472243158246492,0.12034958819688013,0.2397330966956205,0.2347730488935038,0.00012400239544925224,0.6264128162017825
0.0016430618258724888,0.08672562615995472,0.2013645405502258,0.11962194076052335,0.0003376892342639445,0.6820145638061094
0.0017279757372565317,0.12377607835060152,0.17616587599958175,0.2011104402422264,0.0003481398161249489,0.8819476246558371
